name,address
Eagle Express Bas,Addis Ababa To jijiga Transport Service City: Addis Ababa City  Kifle Ketema: Bole  Sefer: Bole Michael Kebele: 01 Direction: Around Bole Michael   Building:   Branch:   Flat: Phone: +251-93-6089303/02
Awash Bank S.C,"Money Grame International Money Transfer, Express Money Transfer and International Business Services Branch: (Awash Bank) Agaro Branch  City: Agaro City  Kifle Ketema: Agaro  Sefer: 04 Kebele Kebele: 05 Direction: Near Haji kamal Building   Building:   Branch:   Flat: Phone: +251-47-2211746 Fax: +251-47-2211841 P.O.Box 12638 Website/Email: awash.bank@ethionet.et    web:- www.awashbank.com"
Addis Alem Tailor,Tailor City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Addis Ketema Kebele: 13/15 Direction: Near Ambassel Music Shop   Building:   Branch:   Flat: Phone: 251-11-2763819
Nib Insurance Company S.C,All Life & Non Life Insurance Service Branch: Jimma Branch  City: Jimma City  Kifle Ketema: Jimma  Sefer: Central Cafe Kebele: - Direction: In front of Central Cafteria   Building:   Branch:   Flat: Phone: +251-91-7800007   +251-47-1122232 Fax: +251-47-1122233
Nib International Bank S.C,Deposit Service- Credit Service- International Banking & Recognition Services - Foreign Exchange Branch: Wolaita Sodo Branch  City: Wolayta Sodo City  Kifle Ketema: Wolayta Sodo  Sefer: Menaheria Kebele: - Direction: In Front of Bekele Molla   Building:   Branch:   Flat: Phone: +251-46-1800020
Addis Ketema Police Station,Police Station Branch: Addis Ketema Sub City Police Department  City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Sefere Selam Kebele: 01/02/03 Direction: abebe bikila Stadium   Building:   Branch:   Flat: Phone: +251-11-2734374
Yirgalem Addis Textile,Addis Textile Factory City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Adey Abeba Kebele: 01 Direction: In Side Old Adeye Ababa   Building:   Branch:   Flat: Phone: +251-11-4422300
Abyssinia Ballooning,"Flight Location, Addis Ababa, Langano, Awassa and Bahir Dar City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Hayahulet Mazoria Kebele: 01/19 Direction: Around Getahun Beshah Building   Building:   Branch:   Flat: Phone: +251-92-6845086 Website/Email: web:-www.abyssiniaballooning.com    info@abyssiniaballooning.com"
Ghion Stationery,All kind of Stationery Items & Computer Accessories Working Hour: From 8:30am-5:30pm  City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Addis Ketema Kebele: 06/07 Direction: In front of Cinima Ras   Building:   Branch:   Flat: Phone: +251-11-2768124
Nesru Mohammed Hassen,"Gift Shop, Photo copy & Sale of Photograph Equipments City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Addis Ketema Kebele: 10/11/12 Direction: Around Amede Gebeya   Building:   Branch:   Flat: Phone: 251-91-1236451 P.O.Box 183078"
Washera Book Store,Book Store City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Addis Ketema Kebele: 13/15 Direction: In front of Addis Ketema School   Building:   Branch:   Flat: Phone: 251-11-2768940
Dagimawi Tewoderose School,Praimary school City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Addis Ketema Kebele: 01/02/03 Direction: In font of Addis Ketema School   Building:   Branch:   Flat: Phone: +251-11-2130608
Lucy Postive Womens Association,NGO City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Addis Ketema Kebele: 01/02/03 Direction: Around Adiss Ketema School   Building:   Branch:   Flat: Phone: +251-91-1640381   +251-91-1412732
United Insurance S.C,Insurance Service City: Dessie City  Kifle Ketema: Dessie  Sefer: Salayish Kebele: 09 Direction: In front of Agip (Dessie Branch)   Building:   Branch:   Flat: Phone: 251-33-1111128 Fax: 251-33-1111129
Nile Insurance S.C,All Life & Non Life Insurance Service Branch: Mizan Tefri Branch   City: Mizan Tefri City  Kifle Ketema: Mizan Tefri  Sefer: Mehal Ketema Kebele: - Direction: Inside Kosekol Building   Building:   Branch:   Flat: Phone: +251-47-1350200
Traffic Offices,Traffic Branch: Addis ketema Traffic Office   City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Sefere Selam Kebele: 01/02/03 Direction: Around abebe bikila Stadium   Building:   Branch:   Flat:
Addis Ababa Grain Traders Association,All Types of Grains Trade City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 08/09/18 Direction: Around Mesalmiya   Building:   Branch:   Flat: Phone: 251-91-1208220 P.O.Box 23781/24802
Matad General Trade and Distribution,Men and Women Clothes Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-11-2757618   251-91-1155596 Fax: 251-11-2782561
Adane Kasa,Curtain Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-11-2750825   251-91-1208796 Fax: 251-11-12750825 P.O.Box 50733
St.Gebrel Tailor,Women’s Clothes Tailor City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-91-1458876   251-91-3495613
Felek Clothes,Selling Different kinds of T-shirts -Sport Wears and Children Clothes City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-11-6516549   251-91-2005417 P.O.Box 9291
Sydney Sport Shop,Selling Different kinds of Sport Clothes & Sport Materials City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-11-1220271   251-91-1250013
Demble Shicurtains & Sofa Clothes Seller,Different Types Textile Materials for Carpet and Sofa City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-91-1623596
Aresama Tailor,Different Type of Textile Products Selling City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-91-1226021   251-91-1315509
Alazar Textile,Different Types of Textile Woman Dresses City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Phone: 251-91-1201177   251-91-1160073
Ruggas Mobile Battery and Power Bank,Mobile Battery and Power Bank Factory and Distributer City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 1st Floor Office No103-104 Phone: +251-94-1303030   +251-92-0676767 Fax: +251-11-1262651 Website/Email: ruggas@yahoo.com
Oromia International Bank S.C.,Bank Branch: Agaro Branch  City: Agaro City  Kifle Ketema: Agaro  Sefer: Agaro Gebeya Kebele: - Direction: Near Feya Hotel   Building:   Branch:   Flat: Phone: +251-47-2211233
Lion Insurance Campany (S.C),Life & Non Life Insurance Service Branch: Jimma Branch   City: Jimma City  Kifle Ketema: Jimma  Sefer: Menaharia Kebele: - Direction: Inside City View Hotel Building   Building:   Branch:   Flat: Phone: +251-34-4411801
Lion International Bank S.C,"Lending Services, International Bank & Information Technology Services Branch: Adwa Branch  City: Adwa City  Kifle Ketema: Adwa  Sefer: Nigste Saba Kebele: 06 Direction: Piassa Around Meneharya   Building:   Branch:   Flat: Phone: +251-34-7713700   +251-34-7712020"
Awash Insurance Company S.C,"Motor, Fire & Lighting, Marine Cargo and Engineering Insurance Services Branch: Ambo Branch  City: Ambo City  Kifle Ketema: Ambo  Sefer: Welega Hotel Kebele: 02 Direction: Near Shaqa Building   Building:   Branch:   Flat: Phone: +251-11-2362758 Fax: +251-11-2362558"
DH Geda Trade & Industry P.L.C,"Different type of DH Geda Products Paints, Thread, Flour, Corrugated Sheet City: Debre Markos City  Kifle Ketema: Debre Markos  Sefer: Menaharia Kebele: 02 Direction: Near Menkorer Nigid Bank (Sales outlet)   Building:   Branch:   Flat: Phone: +251-58-7717071 Fax: +251-58-7717070"
Nuredin Mohammed General Importer & Distribution,"Textile, Blanket City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: no.8 Phone: +251-11-2135482   +251-91-1222485   +251-91-1415057 Fax: +251-11-2757287"
Dedebit Micro Finance,Loan and Saving Service City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 1st floor No 113 Phone: +251-11-2759300   +251-11-8699469   +251-91-4249358
Edget International PLC,"Quality Fabric Sweaters form Europe & Far East, Costume made & Ready made Sweaters for Ladies, Gentlemen & Children, Various School Uniform Sweaters & Shirts City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 408A 219/220 Phone: +251-11-2757028   +251-93-0033373 Fax: +251-12751983 Website/Email: edgetssweatrs@ethionet.et"
Hanibal Mobile Center,Mobile Center City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 2nd Floor Phone: +251-91-3091237
Lid,Mobile Center City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 2nd Floor Phone: +251-91-1173670
Mahir Agency,Travel Agency City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor no.320 Phone: +251-11-2759108
Kiya Mejles,Sofa and Mejles Textile Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 2nd Floor no.319 Phone: +251-92-0029984
Almi,Textile Shop Working Hour: From 8:30am-6:30pm  City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd floor no 316 Phone: +251-92-0324175
Natanim,Curtain Work City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor Phone: +251-91-1682084
Bethle Curtain Work,Curtain Work City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor no.312 Phone: +251-91-1670532
Hanter Digital Advertisement,Advertising Work City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor no.303 Phone: +251-91-1085886
Rem Mobile Center,Mobile Accessories Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 1st Floor no. 102 Phone: +251-91-3191919   +251-91-1944444   +251-91-1797979
Hi phone Mobile,Mobile Center City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 1st Floor no.103 Phone: +251-92-1979797
Kedir Textile,Textile Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 2nd Floor Phone: +251-91-3257598
Real Take,Office Furniture Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 2nd Floor no.211 Phone: +251-91-3293512
Besum Perfume and Bag Shop,Perfume and Bag Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor no.303A Phone: +251-91-1418312
Amen Mobile Center,Mobile Center Working Hour: From 8:30am-5:30pm  City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: Ground Floor Phone: +251-91-1015454
Manir Agency,"Housemaid, Cleaner and Nani City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor no 320 Phone: +251-11-2759108 Fax: +251-11-2759107"
Taza PLC,Boutique City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor Phone: +251-11-2789983   +251-91-1228504
Cooprative Bank of Oromia S.C,Bank Branch: Agaro Branch   City: Agaro City  Kifle Ketema: Agaro  Sefer: Adebabaye Kebele: - Direction: In Front of Tele   Building:   Branch:   Flat: Phone: +251-47-2211714   +251-47-2212581
Hayat Mehamed Tuha,Mobile Accessory Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 1st Floor Phone: +251-92-0676767
3S Advert,Advertising Work City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor Phone: +251-91-1110008
Awash Bank (ATM),ATM City: Sebeta City  Kifle Ketema: Sebeta  Sefer: Bankoch sefer Kebele: 01 Direction: In front of Dashen Bank Building   Building: Aberar Building   Branch:   Flat: Ground floor P.O.Box 12638 Website/Email: awash.bank@ethionet.et    web:-www.awashbank.com
Aday Curtain and Sofa Textile Shop,Curtain and Sofa Textile Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 3rd Floor Phone: +251-11-2750078
Paul Accoutacny,"Closing Book of Accounts, Installation of Accounting System, Consultancy on Financial and Accounts Works, Preparation of Finance and Accounts manuals Government Tax Related Works and In service Trainings to Accountants City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: In front of Bomb tera   Building: Addis Fan Building   Branch:   Flat: 413 Phone: 251-91-3995687   251-91-1219388 Website/Email: paulos_brook@yahoo.com"
Wakene Flour Factory P.L.C,"For Bread,Cake,Biscuit and Genfo Quality Spelt Flour Factory Branch: Head Office   City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: In Front of Commercial Bank of Ethiopia   House No.: 999999 Building: Addis Ketema Market Center   Branch:   Flat: 4th Floor office No 411 Phone: +251-91-1230972   +251-91-1220951   +251-11-8602024 Website/Email: mulunehlema95@gmail.com"
Abyot Balcha Modern Traditional Cloth Shop,Traditional Cloth Shop City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: In Front of Commercial Bank of Ethiopia   House No.: 999999 Building: Addis Ketema Market Center   Branch:   Flat: Phone: +251-91-1241436
Africa Real State S.c,Real State City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: In Front of Commercial Bank of Ethiopia   House No.: 999999 Building: Addis Ketema Market Center   Branch:   Flat: 4th Floor Phone: +251-93-0035566   +251-91-1206393
Ethiopian Electric Power Cooperation,Electric power Supply Service City: Agaro City  Kifle Ketema: Agaro  Sefer: Ajip Kebele: - Direction: Around Ajip   Building:   Branch:   Flat: Phone: +251-47-2211068
East Africa Bottling P.L.C.,"Coordination of production, marketing, and quality control of Coca-Cola products with bottling plants located in Addis Ababa and Dire Dawa.   City: Addis Ababa City  Kifle Ketema: Ledeta  Sefer: Ledeta Kebele: 01/18 Direction: Behind Awash Winery   Building:   Branch:   Flat: Phone: 251-11-2134695   251-11-2756114   251-11-5531990 Fax: 251-11-2757670   251-11-2753152 P.O.Box 1346"
Fitun International Business P.l.c,Deferent kinds of Modern Children Toys Shop And Distributer City: Addis Ababa City City: Addis Ababa City  Kifle Ketema: Bole  Sefer: Gurd shola Kebele: 11 Direction: from megenagna to gured shola In front of ELFORA   Building: Holly City Center   Branch:   Flat: 3rd Floor Phone: +251-91-3022413
Addis Ababa Museum,Museum Service City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Flamingo Kebele: 20/21 Direction: Near Communication Affairs Office   Building:   Branch:   Flat: Phone: +251-11-1153180 P.O.Box 8663 Website/Email: addisababa.musium@ethionet.et
Addis Ababa Hotel,"Restaurant, Bar and Bed Rooms City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Habtegeorgis Deldiy Kebele: 01/02 Direction: In front of Tefra Seyoum Building   Building:   Branch:   Flat: Phone: +251-11-1558907"
Addis Ababa Art Studio,Art Studio And Shop City: Addis Ababa City  Kifle Ketema: Bole  Sefer: Gerji Kebele: 11 Direction: In front of Sunshine Building   Building:   Branch:   Flat: Phone: 251-91-1116531
Addis Ababa City Administration,Government Office City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Piassa Kebele: 10 Direction: Inside Mezegaja gebi   Building:   Branch:   Flat: Phone: 251-11-1563336   +251-11-1561868 Fax: 251-11-1553688
Addis Ababa Police Commission,Police Commission City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Piassa Kebele: 10 Direction: Near Geyoregis Church   Building:   Branch:   Flat: Phone: +251-11-6610111   +251-11-1110111
Addis Ababa Cassation Bench,Government Office City: Addis Ababa City  Kifle Ketema: Ledeta  Sefer: Goma Kutba Kebele: 01/18 Direction: Around Ministry of Health   Building:   Branch:   Flat: Phone: +251-11-5549413
Addis Ababa Mekane Yesus,Scondary School City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Amest Kilo Kebele: 01/02 Direction: Inside Mekane Yesus Church   Building:   Branch:   Flat: Phone: +251-11-1117664
Addis Ababa Commercial Collage,Commercial Collage City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Legehar Kebele: 15/16 Direction: In front of legehar Gumruk   Building:   Branch:   Flat: Phone: 251-11-5518020 Fax: 251-11-5515786
Addis Ababa Abattoirs Enterprise,Meat Distributor City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Kera Kebele: 08/09 Direction: Around kera Mosque   Building:   Branch:   Flat: Phone: 251-11-4668978   251-11-4668974   251-11-4652294   +251-91-1369795 Fax: 251-11-4654223 P.O.Box 1908
Addis Ababa Construction Design,Govermental Office City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Yosef Church Kebele: 01 Direction: Around Yosef Church   Building:   Branch:   Flat: Phone: +251-11-4420800
Addis Ababa Poli Clinic,General Medical City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: gandi Kebele: 15/16 Direction: In front of Gandi Hospital   Building:   Branch:   Flat: Phone: 251-11-5511965 Fax: 251-11-5151956
Addis Ababa Tenis Club,Tenis Club City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Ghion hotel Kebele: 01/19 Direction: Around Ghion Hotel   Building:   Branch:   Flat: Phone: +251-11-5509785   +251-11-5150210
Addis Ababa Police Station,Police Station City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Piassa Giorgis Kebele: 01/02 Direction: Around Giyorgis Church 3nga police station   Building:   Branch:   Flat: Phone: 251-11-1568311
Addis Ababa Pharmacy,Pharmacy City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Hayahulet Mazoria Kebele: 01/19 Direction: In front of Golagol Building   Building:   Branch:   Flat: Phone: +251-11-8501362   +251-91-1556876
Addis Ababa youth Association,Association City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Kidiste Mariam Church Kebele: 01/02 Direction: In front of National Museum   Building:   Branch:   Flat: Phone: +251-11-1232399/98
Addis Ababa Women's Association,Association City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Exhibition Kebele: 01/19 Direction: Around St.Joseph School   Building:   Branch:   Flat: Phone: +251-11-8591454
Addis Ababa Sweater S.c,Share Company City: Addis Ababa City  Kifle Ketema: Kolfe Keranyo  Sefer: Atena tera Kebele: 01/05 Direction: Around Commercial Bank Atena tera Branch Inside Awash Shopping Center   Building:   Branch:   Flat: Phone: +251-11-2799281
Addis Ababa Restaurant,"Restauranet, Bar and Hall rental City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Webe Sefer Kebele: 10 Direction: Near Addis Rejence Hotel   Building:   Branch:   Flat: Phone: +251-11-1113513"
El-Betel Acadamy,From Nursery -12th Grade City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Addis Sefer Kebele: 12/13 Direction: Around Addis Sefer   Building:   Branch:   Flat: Phone: 251-11-4431447 Fax: 251-11-4408565
Sami Cafe,Cafe City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Addis Sefer Kebele: 04 Direction: Around RD Restaurant   Building:   Branch:   Flat: Phone: 251-11-4421131
Falken Acadamy,From KG to 12th Grade City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Addis Sefer Kebele: 11 Direction: Behind Shadeho Clinic   Building:   Branch:   Flat: Phone: 251-11-4425353
Amare Mengestu G/Hiwot,Advertizing Work City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Addis Sefer Kebele: 10/18 Direction: Around Total Gas Station   Building:   Branch:   Flat: Phone: +251-11-4423111   +251-91-1207063 Fax: +251-11-4409717 Website/Email: ent-am@ethionet.et
Rias Metals Materials,House hold and Office Furniture metal work City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Addis Sefer Kebele: 01 Direction: Near Awash bank   Building:   Branch:   Flat: Phone: +251-11-4404775
Gondwana Engineering P.L.c,Consultant Engineers City: Addis Ababa City  Kifle Ketema: Nefassilk Lafto  Sefer: Addis Sefer Kebele: 01 Direction: In front of Tele   Building:   Branch:   Flat: Phone: +251-11-4407468   +251-11-4407470
