branch,city,kifle_ketema,direction,building,flat,phone,name
,Addis Ababa City,Addis Ketema,Addis Ketema Kebele: 10/11/12,Around Amede Gebeya,,251-91-1236451 P.O.Box 183078,Nesru Mohammed Hassen
,Addis Ababa City,Addis Ketema,Addis Ketema Kebele: 13/15,In front of Addis Ketema School,,251-11-2768940,Washera Book Store
,Addis Ababa City,Addis Ketema,Addis Ketema Kebele: 01/02/03,In font of Addis Ketema School,,+251-11-2130608,Dagimawi Tewoderose School
,Addis Ababa City,Addis Ketema,Addis Ketema Kebele: 01/02/03,Around Adiss Ketema School,,+251-91-1640381   +251-91-1412732,Lucy Postive Womens Association
,Dessie City,Dessie,Salayish Kebele: 09,In front of Agip (Dessie Branch),,251-33-1111128 Fax: 251-33-1111129,United Insurance S.C
Mizan Tefri Branch,Mizan Tefri City,Mizan Tefri,Mehal Ketema Kebele: -,Inside Kosekol Building,,+251-47-1350200,Nile Insurance S.C
Addis ketema Traffic Office,Addis Ababa City,Addis Ketema,Sefere Selam Kebele: 01/02/03,Around abebe bikila Stadium,,,Traffic Offices
,Addis Ababa City,Addis Ketema,Merkato Kebele: 08/09/18,Around Mesalmiya,,251-91-1208220 P.O.Box 23781/24802,Addis Ababa Grain Traders Association
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-11-2757618   251-91-1155596 Fax: 251-11-2782561,Matad General Trade and Distribution
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-11-2750825   251-91-1208796 Fax: 251-11-12750825 P.O.Box 50733,Adane Kasa
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-91-1458876   251-91-3495613,St.Gebrel Tailor
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-11-6516549   251-91-2005417 P.O.Box 9291,Felek Clothes
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-11-1220271   251-91-1250013,Sydney Sport Shop
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-91-1623596,Demble Shicurtains & Sofa Clothes Seller
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-91-1226021   251-91-1315509,Aresama Tailor
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,,251-91-1201177   251-91-1160073,Alazar Textile
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,1st Floor Office No103-104,+251-94-1303030   +251-92-0676767 Fax: +251-11-1262651 Website/Email: ruggas@yahoo.com,Ruggas Mobile Battery and Power Bank
Agaro Branch,Agaro City,Agaro,Agaro Gebeya Kebele: -,Near Feya Hotel,,+251-47-2211233,Oromia International Bank S.C.
Jimma Branch,Jimma City,Jimma,Menaharia Kebele: -,Inside City View Hotel Building,,+251-34-4411801,Lion Insurance Campany (S.C)
Adwa Branch,Adwa City,Adwa,Nigste Saba Kebele: 06,Piassa Around Meneharya,,+251-34-7713700   +251-34-7712020,Lion International Bank S.C
Ambo Branch,Ambo City,Ambo,Welega Hotel Kebele: 02,Near Shaqa Building,,+251-11-2362758 Fax: +251-11-2362558,Awash Insurance Company S.C
,Debre Markos City,Debre Markos,Menaharia Kebele: 02,Near Menkorer Nigid Bank (Sales outlet),,+251-58-7717071 Fax: +251-58-7717070,DH Geda Trade & Industry P.L.C
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,no.8,+251-11-2135482   +251-91-1222485   +251-91-1415057 Fax: +251-11-2757287,Nuredin Mohammed General Importer & Distribution
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,1st floor No 113,+251-11-2759300   +251-11-8699469   +251-91-4249358,Dedebit Micro Finance
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,408A 219/220,+251-11-2757028   +251-93-0033373 Fax: +251-12751983 Website/Email: edgetssweatrs@ethionet.et,Edget International PLC
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,2nd Floor,+251-91-3091237,Hanibal Mobile Center
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,2nd Floor,+251-91-1173670,Lid
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor no.320,+251-11-2759108,Mahir Agency
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,2nd Floor no.319,+251-92-0029984,Kiya Mejles
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd floor no 316,+251-92-0324175,Almi
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor,+251-91-1682084,Natanim
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor no.312,+251-91-1670532,Bethle Curtain Work
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor no.303,+251-91-1085886,Hanter Digital Advertisement
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,1st Floor no. 102,+251-91-3191919   +251-91-1944444   +251-91-1797979,Rem Mobile Center
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,1st Floor no.103,+251-92-1979797,Hi phone Mobile
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,2nd Floor,+251-91-3257598,Kedir Textile
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,2nd Floor no.211,+251-91-3293512,Real Take
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor no.303A,+251-91-1418312,Besum Perfume and Bag Shop
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,Ground Floor,+251-91-1015454,Amen Mobile Center
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor no 320,+251-11-2759108 Fax: +251-11-2759107,Manir Agency
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor,+251-11-2789983   +251-91-1228504,Taza PLC
Agaro Branch,Agaro City,Agaro,Adebabaye Kebele: -,In Front of Tele,,+251-47-2211714   +251-47-2212581,Cooprative Bank of Oromia S.C
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,1st Floor,+251-92-0676767,Hayat Mehamed Tuha
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor,+251-91-1110008,3S Advert
,Sebeta City,Sebeta,Bankoch sefer Kebele: 01,In front of Dashen Bank Building,,,Awash Bank (ATM)
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,3rd Floor,+251-11-2750078,Aday Curtain and Sofa Textile Shop
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,In front of Bomb tera,413,251-91-3995687   251-91-1219388 Website/Email: paulos_brook@yahoo.com,Paul Accoutacny
Head Office,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,In Front of Commercial Bank of Ethiopia   House No.: 999999,4th Floor office No 411,+251-91-1230972   +251-91-1220951   +251-11-8602024 Website/Email: mulunehlema95@gmail.com,Wakene Flour Factory P.L.C
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,In Front of Commercial Bank of Ethiopia   House No.: 999999,,+251-91-1241436,Abyot Balcha Modern Traditional Cloth Shop
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,In Front of Commercial Bank of Ethiopia   House No.: 999999,4th Floor,+251-93-0035566   +251-91-1206393,Africa Real State S.c
,Agaro City,Agaro,Ajip Kebele: -,Around Ajip,,+251-47-2211068,Ethiopian Electric Power Cooperation
,Addis Ababa City,Ledeta,Ledeta Kebele: 01/18,Behind Awash Winery,,251-11-2134695   251-11-2756114   251-11-5531990 Fax: 251-11-2757670   251-11-2753152 P.O.Box 1346,East Africa Bottling P.L.C.
,Addis Ababa City City: Addis Ababa City,Bole,Gurd shola Kebele: 11,from megenagna to gured shola In front of ELFORA,3rd Floor,+251-91-3022413,Fitun International Business P.l.c
,Addis Ababa City,Kirkos,Flamingo Kebele: 20/21,Near Communication Affairs Office,,+251-11-1153180 P.O.Box 8663 Website/Email: addisababa.musium@ethionet.et,Addis Ababa Museum
,Addis Ababa City,Arada,Habtegeorgis Deldiy Kebele: 01/02,In front of Tefra Seyoum Building,,+251-11-1558907,Addis Ababa Hotel
,Addis Ababa City,Bole,Gerji Kebele: 11,In front of Sunshine Building,,251-91-1116531,Addis Ababa Art Studio
,Addis Ababa City,Arada,Piassa Kebele: 10,Inside Mezegaja gebi,,251-11-1563336   +251-11-1561868 Fax: 251-11-1553688,Addis Ababa City Administration
,Addis Ababa City,Arada,Piassa Kebele: 10,Near Geyoregis Church,,+251-11-6610111   +251-11-1110111,Addis Ababa Police Commission
,Addis Ababa City,Ledeta,Goma Kutba Kebele: 01/18,Around Ministry of Health,,+251-11-5549413,Addis Ababa Cassation Bench
,Addis Ababa City,Arada,Amest Kilo Kebele: 01/02,Inside Mekane Yesus Church,,+251-11-1117664,Addis Ababa Mekane Yesus
,Addis Ababa City,Kirkos,Legehar Kebele: 15/16,In front of legehar Gumruk,,251-11-5518020 Fax: 251-11-5515786,Addis Ababa Commercial Collage
,Addis Ababa City,Kirkos,Kera Kebele: 08/09,Around kera Mosque,,251-11-4668978   251-11-4668974   251-11-4652294   +251-91-1369795 Fax: 251-11-4654223 P.O.Box 1908,Addis Ababa Abattoirs Enterprise
,Addis Ababa City,Nefassilk Lafto,Yosef Church Kebele: 01,Around Yosef Church,,+251-11-4420800,Addis Ababa Construction Design
,Addis Ababa City,Kirkos,gandi Kebele: 15/16,In front of Gandi Hospital,,251-11-5511965 Fax: 251-11-5151956,Addis Ababa Poli Clinic
,Addis Ababa City,Kirkos,Ghion hotel Kebele: 01/19,Around Ghion Hotel,,+251-11-5509785   +251-11-5150210,Addis Ababa Tenis Club
,Addis Ababa City,Arada,Piassa Giorgis Kebele: 01/02,Around Giyorgis Church 3nga police station,,251-11-1568311,Addis Ababa Police Station
,Addis Ababa City,Kirkos,Hayahulet Mazoria Kebele: 01/19,In front of Golagol Building,,+251-11-8501362   +251-91-1556876,Addis Ababa Pharmacy
,Addis Ababa City,Arada,Kidiste Mariam Church Kebele: 01/02,In front of National Museum,,+251-11-1232399/98,Addis Ababa youth Association
,Addis Ababa City,Kirkos,Exhibition Kebele: 01/19,Around St.Joseph School,,+251-11-8591454,Addis Ababa Women's Association
,Addis Ababa City,Kolfe Keranyo,Atena tera Kebele: 01/05,Around Commercial Bank Atena tera Branch Inside Awash Shopping Center,,+251-11-2799281,Addis Ababa Sweater S.c
,Addis Ababa City,Arada,Webe Sefer Kebele: 10,Near Addis Rejence Hotel,,+251-11-1113513,Addis Ababa Restaurant
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 12/13,Around Addis Sefer,,251-11-4431447 Fax: 251-11-4408565,El-Betel Acadamy
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 04,Around RD Restaurant,,251-11-4421131,Sami Cafe
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 11,Behind Shadeho Clinic,,251-11-4425353,Falken Acadamy
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 10/18,Around Total Gas Station,,+251-11-4423111   +251-91-1207063 Fax: +251-11-4409717 Website/Email: ent-am@ethionet.et,Amare Mengestu G/Hiwot
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Near Awash bank,,+251-11-4404775,Rias Metals Materials
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,In front of Tele,,+251-11-4407468   +251-11-4407470,Gondwana Engineering P.L.c
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 10/18,Behind Total Gas Station,,+251-11-4420557,Betal Engineering P.L.C
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Abyssinia College,,+251-11-4431344,Tena Pharmacy
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Adey Abeba,,+251-91-3645612,Amanuel Pharmacy
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around 29.no Bus Station,,+251-11-4409534,Sheger Drug Store
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Near Kidan mehretChurch,,+251-11-4432175,Kedist Kidan mehret School
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Habesha Hotel,,+251-91-3144257,Mekrez Charity Organization
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Total,,+251-11-4707681/83/85,World Learning INC
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Inside Kem House Building,,+251-11-4426232/33,Pastoralist Councern
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Yared Building,,+251-11-4431393   +251-93-5401649   +251-91-2097478,Bepana Business P.L.C
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Bridge Hotel   House No.: 999999,,+251-11-4707182   +251-93-5981674,Senoz Hotel
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around no 1 Habesha Hotel,,+251-11-4422105,Tipifaye Youth Academy
Worda 9,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Kidane Mihret Church,,+251-11-4404074,Nifas Silk Lafto Kifle Ketema
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,In front of Debub Global Bank,,+251-93-8424242,Selam Baltna
Agaro Branch,Agaro City,Agaro,05 Kebele Kebele: 05,In Side Haji Kamal Building,,251-47-2211031/51   251-47-2211321 Fax: 251-47-2211499 P.O.Box 404,Wegagen Bank S.C
day Care,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Worda 9,,+251-91-1462195   +251-93-7999288,School of Aygoda
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Sadeho Clinic,,+251-91-1475931,Daniel Pharamecy
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Shedeho Clinic,,+251-91-1403571   +251-91-1880440,2M Traditional Clothe Shop
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Commercial Bank of Ethiopia Addis Sefer Branch,,+251-11-4424920,Tana Printing House
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Saris Cinema,,+251-91-1559399   +251-91-3148070,Shedeho Middle Clinic
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Aroud Tana Gebeya,,+251-11-4409534   +251-91-1144612,Adugna Pharmacy
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Bridge Hotel,,+251-91-1806082,Aday Bet Wubet
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,In front of Noh Building,,+251-91-2615804,Mkdi Printing and Advertising
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,In Front of Shedeho Middle Clinic,,+251-11-4707994,Hay Day Hotel
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Ramse Shoe Factory,,+251-91-1257909,Awesan Industry P.L.C
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Total,,+251-11-4431376,Tesfa Lidet Clinic
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Behind Total,,+251-92-9903143   +251-91-1357700,Birudas Trading
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 01,Around Adey Abeba Bridge Next to Sedo Clinic,,+251-11-4709089   +251-11-4708317,Heyday Hotel
,Addis Ababa City,Nefassilk Lafto,Addis goma Kebele: 12/13,Inside Noh Technical Collage,,251-11-4400988 Fax: 251-11-4422012,Abyssinia Transport
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 12/13,In front of Totla Gas Station,1st Floor,+251-11-4431444   +251-93-0102852   +251-91-1514445 Fax: +251-11-4431028 Website/Email: web:-www.tamrinittradingplc.com    tamrinint@gmaill.com,Tamrin International Trading P.L.C
,Addis Ababa City,Nefassilk Lafto,Addis Sefer Kebele: 12/13,In front of Totla Gas Station,4th Floor,+251-11-4426182   +251-91-3178423,Lewis Construction
Akaki Kality Branch,Addis Ababa City,Akaki Kality,Kality Total Kebele: 01/03,Around akaki Health Center In front of Deraretu Tulu School,,+251-11-4340096   +251-11-4342063   +251-11-4352276,City Government of Addis Ababa Fire and Emergency Prevention and Resource Authority
,Addis Ababa City,Arada,Piassa Kebele: 01/02,Around 3rd Police Station,,+251-11-1557251,Addis Ababa Water Supply & Sewerage Authority (Toilet Cleaning Service )
Addis Taem Program,Addis Ababa City,Bole,Wolo Sefer Kebele: 01,Near Saudi Embassy,,+251-91-1965401   +251-91-1614917,Fana Broadcasting Corporate 98.1
Gofa Branch,Addis Ababa City,Nefassilk Lafto,Gofa Kebele: 03/04/05,In front of Zeleke Building,Ground floor,+251-11-4169540 Fax: +251-11-4169549 P.O.Box 12947 Website/Email: info@bankofabyssinia.com    www.bankofabyssinia.com,Abyssinia Bank S.C
Wolaita Sodo Branch,Wolayta Sodo City,Wolayta Sodo,Balto Hotel Kebele: -,Around Baleto Hotel,,+251-46-5515223 Fax: +251-46-5515222 P.O.Box 223 Website/Email: wolaitasodo@dashenbannksc.com    www.dashenbanksc.com,Dashen Bank S.C
,Addis Ababa City,Bole,Bole Medhanealem Kebele: 01,Near Bole High School,2nd Floor,+251-11-6670154/57   +251-93-0012099 Website/Email: web:-www.flydubai.com,flydubai
,Addis Ababa City,Kirkos,Olympia Kebele: 01/19,Around Greece School In front of Federal Express 100 Meter,,+251-11-8122367/84,Addis Ababa House Development Agency
,Addis Ababa City,Arada,Piassa Kebele: 01/02,Around Semen Hotel,,+251-11-1560005   +251-91-1506610,Addis Ababa Medical and business Collage
,Addis Ababa City,Bole,Hayhulet Mazoria Kebele: 01,Near Beteseb Hotel,,+251-11-8640459   +251-11-6613509,Addis Ababa Network (PLHIV) Association
,Addis Ababa City,Ledeta,Goma Kutba Kebele: 01/18,Near Desalagen Hotel,,+251-11-5549416,Addis Ababa City Appellant Court
,Addis Ababa City,Nefassilk Lafto,Sar-Bet Kebele: 03/04/05,In side Road Autority building,,+251-11-3712338/39,Addis Ababa House Constraction Limat
,Addis Ababa City,Nefassilk Lafto,Sar-Bet Kebele: 01,Near Adams Pavilion Building,,+251-11-3713400    +251-11-3713965,Addis Ababa City Roads Authority
,Addis Ababa City,Arada,Amest Kilo Kebele: 01/02,Around St Mary Church,,+251-91-3333213,Addis Ababa Women Children Affairs
,Addis Ababa City,Akaki Kality,Kality Kebele: 10/11,Near to crown hotel,,251-11-4391570   251-11-4394664   251-91-1201940 Fax: 251-11-4390287 P.O.Box 22971,Addis Ababa Foam Factory Enterprise
,Addis Ababa City,Kirkos,Kasanchis Kebele: 01/19,Inside Addis Ababa HIV Aids Mekotaterya Mekelakeya Biro,,+251-91-1602009,Addis Ababa Health Jornalists Initiative
,Addis Ababa City,Arada,Sidist Kilo Kebele: 01/02,Around Minilik Hospital,,+251-11-1237008,Addis Ababa Adventist Eye Clinic
,Addis Ababa City,Bole,Gurd shola Kebele: 01,Near Andinet International School,,+251-11-6463843/39,Addis Ababa Environment Protection Authority
,Addis Ababa City,Kirkos,Ambassador Kebele: 01/19,Inside Ambassader Cinema,,+251-11-8622888   +251-91-3824752,Society of Tour Operators In addis Ababa
,Addis Ababa City,Gulele,Asco Kebele: 13/14,Around kawo.j.j Flour Factory,,+251-11-2702628   +251-11-2702430   +251-11-2702811 Fax: +251-11-2701130,Addis Ababa Bottle and Glass S.C
,Addis Ababa City,Akaki Kality,Kality Total Kebele: 01/03,Around Tirunash Beijing Hospital,,+251-11-8961441/42/43   +251-11-8592343,Addis Ababa Science and Tecnology University
,Addis Ababa City,Kirkos,Mexico Kebele: 01/19,In front of Bunana Shay,,+251-91-1707040   +251-91-2777740    +251-91-1667151,Addis Ababa Taxi Drivers Assocation
,Addis Ababa City,Kirkos,Mexico Kebele: 01/19,Infront of African Union,,+251-11-8699164   +251-11-8592271,Addis Ababa City Transport Office
,Addis Ababa City,Gulele,Medhanialem School Kebele: 08/16,In front of Sami Building,,+251-11-2773784/89 Fax: +251-11-2773791 P.O.Box 56183,Addis Ababa Cleaning Management Agency
,Addis Ababa City,Ledeta,Tekur Anbessa Kebele: 12,Around Blak lion shell,7th floor,251-11-5547186   251-11-5547185   251-91-1201450 P.O.Box 22498 Website/Email: aatan@ethionet.et,Addis Ababa Tannery S/C
,Addis Ababa City,Kirkos,Peacock Kebele: 01/19,Near peacock Cafe,,"+251-11-5159063   +251-91-1221596   +251-91-1234436 Fax: +251-11-5506028 P.O.Box 12822 Website/Email: info@asqualtours.com    estifanos@asqualtours.com    web:-www,asqualtours.com",Asqual Tour and Travel
,Addis Ababa City,Kirkos,Flamingo Kebele: 02/03,Near Tom Tower Building,5th,251-11-5156320/24/67/98 Fax: 251-11-5156449 P.O.Box 2329 Website/Email: addisababa@ssafrica.org    www.issafrica.org,Institute for Security Studies
,Addis Ababa City,Kirkos,Flamingo Kebele: 01/19,Behind Flamingo Resturant Inside Zerihun Desta Building,,+251-11-5573018   +251-11-5572985,Addis Ababa City Administration Industry Development Office
,Addis Ababa City,Bole,Megenagna Kebele: 01,Around Mulugeta Zeleke Building Inside Afarenesis Hotel,,+251-11-8699813   +251-11-8332502,Addis Ababa city Administration Health Bureau
,Addis Ababa City,Ledeta,Tekur Anbessa Kebele: 01/18,Inside Black Lion Hospital,,+251-11-8959055   +251-11-5156146 Fax: +251-11-5513099,Addis Ababa University College of Health Sciences
,Addis Ababa City,Arada,Arat Kilo Kebele: 01/02,Infront Birhan ena Selam Printing Press On Kidus Plaza Building,,+251-11-1264425/05 Fax: +251-11-1264614 P.O.Box 8663 Website/Email: info@addisculture tourism.gov.et,Addis Ababa City Administration Culture and Tourism Bureau
,Addis Ababa City,Arada,Arat Kilo Kebele: 01/02,In front of Kidest Mariam Collage,,+251-11-1236770 Fax: +251-11-1236769 P.O.Box 1176 Website/Email: zooinhm@yahoo.com    www.scaau.edu.et/museum/indxmuseum.htm/,The Zoological Natural History Musium Addis Ababa Universty
,Addis Ababa City,Arada,Arat Kilo Kebele: 01/02,Next To Jolly Bar Postal Office Building 4th Floor,,+251-11-1265313   +251-91-1138289,Addis Ababa City Resilience Project Office
,Addis Ababa City,Bole,CMC Kebele: 01,Inside Ethiopian Economics Assocation Building,,+251-11-6675808,Addis Ababa Hotel Owners Trade Sectoral Association
,Addis Ababa City,Arada,Sidist Kilo Kebele: 01/02,In front of Yekatit 12 School,,+251-91-3141242,Bako and Addis Ababa Vision for the Blind and the Need Association
,Addis Ababa City,Arada,Sidist Kilo Kebele: 01/02,Inside Addis Ababab University,,+251-91-3043008,Addis Ababa University Akal Gudategneoch Mahber
